aro,norm_feature,present_feature,public_present_n,median_norm_when_present,mean_norm_when_present
AAC(3)-IId,AAC(3)-IId__norm,AAC(3)-IId__present,22,12.507806777954102,12.507806777954102
AAC(3)-Ia,AAC(3)-Ia__norm,AAC(3)-Ia__present,9,11.60632038116455,11.634204546610514
AAC(3)-Ic,AAC(3)-Ic__norm,AAC(3)-Ic__present,11,11.528846740722656,11.528846740722656
AAC(3)-Id,AAC(3)-Id__norm,AAC(3)-Id__present,23,11.893452644348145,11.893452644348145
AAC(6')-29b,AAC(6')-29b__norm,AAC(6')-29b__present,14,13.027737617492676,13.046789373670306
AAC(6')-31,AAC(6')-31__norm,AAC(6')-31__present,7,10.874263763427734,10.975285530090332
AAC(6')-IIa,AAC(6')-IIa__norm,AAC(6')-IIa__present,31,10.962180137634276,10.968577815640357
AAC(6')-Ib10,AAC(6')-Ib10__norm,AAC(6')-Ib10__present,26,10.14242172241211,10.128620367783766
AAC(6')-Ib4,AAC(6')-Ib4__norm,AAC(6')-Ib4__present,38,9.897289276123049,9.897289276123049
AAC(6')-Ib9,AAC(6')-Ib9__norm,AAC(6')-Ib9__present,84,10.160039901733398,10.150294213067918
AAC(6')-Il,AAC(6')-Il__norm,AAC(6')-Il__present,53,12.210694313049316,12.210694313049316
ANT(2'')-Ia,ANT(2'')-Ia__norm,ANT(2'')-Ia__present,126,12.60184097290039,12.65338705456446
ANT(4')-IIb,ANT(4')-IIb__norm,ANT(4')-IIb__present,25,13.422908782958984,13.441961822509766
APH(3'')-Ib,APH(3'')-Ib__norm,APH(3'')-Ib__present,98,9.879085540771484,9.892058255721112
APH(3')-IIa,APH(3')-IIa__norm,APH(3')-IIa__present,52,11.910372734069824,11.907432042635405
APH(3')-IIb,APH(3')-IIb__norm,APH(3')-IIb__present,2664,12.217854499816896,12.223552090269667
APH(3')-Ia,APH(3')-Ia__norm,APH(3')-Ia__present,30,11.925870895385742,11.926276969909669
APH(3')-VIa,APH(3')-VIa__norm,APH(3')-VIa__present,111,12.833194732666016,12.832913201134485
APH(3')-VIb,APH(3')-VIb__norm,APH(3')-VIb__present,5,12.852840423583984,12.852840423583984
APH(6)-Ic,APH(6)-Ic__norm,APH(6)-Ic__present,44,12.064526557922363,12.064526557922363
APH(6)-Id,APH(6)-Id__norm,APH(6)-Id__present,129,12.626803398132324,12.623115739157033
ArmR,ArmR__norm,ArmR__present,2156,14.723919868469238,14.724313301146584
ArnT,ArnT__norm,ArnT__present,2667,12.007452964782717,12.006411256707917
BLMT,BLMT__norm,BLMT__present,55,11.3350830078125,11.332012540643865
BRP(MBL),BRP(MBL)__norm,BRP(MBL)__present,63,11.285670280456545,11.283906709580195
DfrB9,DfrB9__norm,DfrB9__present,13,12.667181015014648,12.667181015014648
EreA2,EreA2__norm,EreA2__present,21,12.532022476196287,12.532022476196286
FosA8,FosA8__norm,FosA8__present,17,11.379514694213867,11.5933837890625
FosA,FosA__norm,FosA__present,2681,11.485549926757812,11.491279182306025
GES-1,GES-1__norm,GES-1__present,17,11.74634075164795,11.74634075164795
GES-20,GES-20__norm,GES-20__present,11,11.733559608459473,11.733559608459473
GES-5,GES-5__norm,GES-5__present,30,11.732623100280762,11.732623100280762
GES-9,GES-9__norm,GES-9__present,12,11.723732948303224,11.723732948303224
IMP-1,IMP-1__norm,IMP-1__present,18,11.919422149658203,11.915833049350315
IMP-45,IMP-45__norm,IMP-45__present,29,11.947834014892578,11.931379088040057
IMP-7,IMP-7__norm,IMP-7__present,12,11.97462558746338,11.97462558746338
KPC-2,KPC-2__norm,KPC-2__present,290,11.305157661437988,11.305157661437988
MexA,MexA__norm,MexA__present,2664,10.39137077331543,10.392369097059554
MexB,MexB__norm,MexB__present,2643,9.716981887817385,9.716421156907415
MexC,MexC__norm,MexC__present,2015,10.495954513549805,10.504479139436858
