protein_id,seq_hash,aro_name
PROT_000000,64f9e32ebe29,MexA
PROT_000001,e9bcc40ac78b,MexB
PROT_000002,06ca28c3693c,OprM
PROT_000003,a9227fae89bc,OpmD
PROT_000004,38329a736c34,MexI
PROT_000005,da679a57529c,MexH
PROT_000006,065eafd9f15f,MexG
PROT_000007,f70ef364b79b,APH(3')-IIb
PROT_000008,30461ebcfe34,PDC-103
PROT_000009,6400d008a1a4,MexJ
PROT_000010,1b458545d769,MexK
PROT_000011,821ebdbb6c43,ArnT
PROT_000012,2faeea9b2aca,arnA
PROT_000013,132dc3198530,cprR
PROT_000014,b40c089d4de9,OpmB
PROT_000015,708233d91b55,OprN
PROT_000016,37217aaf8d4c,MexF
PROT_000017,90ea7d7354fb,MexE
PROT_000018,a44abd5fa016,mexY
PROT_000019,49fcb6f7158b,FosA
PROT_000020,816caf8a879a,MexV
PROT_000021,270e989e04ae,MexW
PROT_000022,22b116910d1c,OprJ
PROT_000023,32f948ec05ba,MexD
PROT_000024,f9be9a346d00,MexC
PROT_000025,652d2162c406,basS
PROT_000026,db7be9ca466a,OpmH
PROT_000027,3ff056049c28,OXA-50
PROT_000028,4733937d872a,Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones
PROT_000029,eef0b1b6d323,MexR
PROT_000030,b633a4116776,nalC
PROT_000031,5c37ad461cd3,nalD
PROT_000032,1905d5de5903,MexT
PROT_000033,7a37a634980b,MexS
PROT_000034,cf90b2172f06,MexZ
PROT_000035,682e56cd29a5,Type B NfxB
PROT_000036,7a32f7392dfd,MexJ
PROT_000037,38d5b4ad8885,MexK
PROT_000038,ade406b140cb,ArnT
PROT_000039,ec3526294c44,arnA
PROT_000040,bf2d815fbdb1,MexA
PROT_000041,c230cc5f7f50,MexB
PROT_000042,d356592d5be0,OpmD
PROT_000043,5b83b31b39bd,MexI
PROT_000044,09b4c664c89e,MexH
PROT_000045,7c988d42fc8d,MexD
PROT_000046,8916826e5b9a,OpmB
PROT_000047,cde3dbada3af,OprN
PROT_000048,4c44560889b1,MexF
PROT_000049,f26043759ad0,mexY
PROT_000050,d1d4271b4e8b,APH(3')-IIb
PROT_000051,667e21bdb7e5,PDC-5
PROT_000052,d67e7642da4c,FosA
PROT_000053,91b804ec6401,OXA-494
PROT_000054,dcfc40db2507,nalC
PROT_000055,2a4404b3476d,nalD
PROT_000056,e17aebd2750e,Type B NfxB
PROT_000057,7885aa90a305,mexY
PROT_000058,e8906782dd93,APH(3')-IIb
PROT_000059,9cf57c001449,arnA
PROT_000060,85bc198c3cf5,MexD
PROT_000061,739c7a321aa9,OpmH
PROT_000062,4e559c508069,OXA-395
PROT_000063,c4ff1ad33bda,basS
PROT_000064,d8ed143e14a9,MexW
PROT_000065,5d59f68ba12f,MexK
PROT_000066,cf51a9a56bb4,MexJ
